# Audio2txt v3.0 - 顧問訪視1001
# Duration: 52.7min
# Processing: 4.5min
# Speakers: 3

# SPEAKER_00: 14.9min (396 segments)
# SPEAKER_01: 36.0min (574 segments)
# SPEAKER_02: 2.3min (315 segments)

============================================================

[01:24 -> 01:27][SPEAKER_01]: 保養品跟3C產品
[01:27 -> 01:29][SPEAKER_01]: 這兩個為主要的銷售
[01:29 -> 01:30][SPEAKER_00]: OK
[01:30 -> 01:32][SPEAKER_00]: 之前你的利益
[01:32 -> 01:36][SPEAKER_01]: 之前的話我其實是保養品
[01:36 -> 01:37][SPEAKER_01]: 應該這麼說
[01:37 -> 01:40][SPEAKER_01]: 我一開始是
[01:40 -> 01:42][SPEAKER_01]: 我是南非華僑
[01:42 -> 01:44][SPEAKER_01]: 所以我是在南非那邊長大的
[01:44 -> 01:46][SPEAKER_01]: 租社會之後就是
[01:46 -> 01:49][SPEAKER_01]: 最後就是在南非開了自己的貿易公司
[01:49 -> 01:51][SPEAKER_01]: 所以有實際的貿易的經驗
[01:51 -> 01:53][SPEAKER_01]: 我主要是從中國大陸
[01:53 -> 01:56][SPEAKER_01]: 拉貨櫃去到德本
[01:56 -> 01:59][SPEAKER_01]: 賣那個什麼
[01:59 -> 02:02][SPEAKER_01]: 把官配型電焊手套
[02:02 -> 02:03][SPEAKER_01]: 安全帽
[02:03 -> 02:05][SPEAKER_01]: 建材類相關的
[02:05 -> 02:08][SPEAKER_01]: 那個時候是因為
[02:08 -> 02:11][SPEAKER_01]: 南非當時大量的
[02:11 -> 02:14][SPEAKER_01]: 取得B保的那個事主委
[02:14 -> 02:15][SPEAKER_01]: 所以有大量的工程
[02:15 -> 02:17][SPEAKER_01]: 所以小工程也很多
[02:17 -> 02:20][SPEAKER_01]: 所以那時候它也是一個時機點
[02:20 -> 02:22][SPEAKER_01]: 所以那時候就成立一個貿易公司
[02:22 -> 02:24][SPEAKER_01]: 然後這樣子是有賺到
[02:24 -> 02:26][SPEAKER_01]: 然後之後就是因為
[02:26 -> 02:28][SPEAKER_01]: 覺得說想要幫助台灣
[02:28 -> 02:30][SPEAKER_01]: 因為家人都在台灣
[02:30 -> 02:31][SPEAKER_01]: 回來
[02:31 -> 02:32][SPEAKER_01]: 所以我就搬回來
[02:32 -> 02:34][SPEAKER_01]: 回來之後就找
[02:34 -> 02:36][SPEAKER_01]: 那個時候就找那個什麼
[02:36 -> 02:37][SPEAKER_01]: 找到
[02:37 -> 02:39][SPEAKER_01]: 台灣的保養品其實
[02:39 -> 02:41][SPEAKER_01]: 蠻強的
[02:41 -> 02:44][SPEAKER_01]: 所以就花一點心思去研究之後
[02:44 -> 02:46][SPEAKER_01]: 然後就覺得
[02:46 -> 02:48][SPEAKER_01]: 那其實是可以去帶領
[02:48 -> 02:50][SPEAKER_01]: 台灣當地品牌的產品
[02:50 -> 02:51][SPEAKER_00]: 到國外去這樣子
[02:51 -> 02:52][SPEAKER_01]: 對
[02:52 -> 02:54][SPEAKER_01]: 所以那個時候就找了
[02:54 -> 02:55][SPEAKER_01]: 我的心機
[02:55 -> 02:57][SPEAKER_01]: 那個面膜
[02:57 -> 02:59][SPEAKER_01]: 然後那個時候是
[02:59 -> 03:02][SPEAKER_01]: 跟他簽了新加坡的總代理
[03:02 -> 03:04][SPEAKER_01]: 因為他當時
[03:04 -> 03:07][SPEAKER_01]: 新加坡的總代理還沒有被人家簽名
[03:07 -> 03:09][SPEAKER_01]: 那時候就是
[03:09 -> 03:12][SPEAKER_01]: 跟那個老闆聊了之後
[03:12 -> 03:15][SPEAKER_01]: 然後被去新加坡
[03:15 -> 03:17][SPEAKER_01]: 然後一個禮拜之內吧
[03:17 -> 03:20][SPEAKER_01]: 我就直接把整個計畫就丟給他
[03:20 -> 03:22][SPEAKER_01]: 然後我們就簽約合作
[03:22 -> 03:24][SPEAKER_01]: 那時候還沒跟那個TB合作
[03:24 -> 03:26][SPEAKER_01]: 就是請他代言
[03:26 -> 03:30][SPEAKER_01]: 然後我們上架都是上在
[03:30 -> 03:34][SPEAKER_01]: 去城市
[03:34 -> 03:35][SPEAKER_01]: 對
[03:35 -> 03:38][SPEAKER_01]: 我們第一年是獨駕給去城市
[03:38 -> 03:40][SPEAKER_01]: 然後第二年之後就是
[03:40 -> 03:41][SPEAKER_01]: 被拖到其他房屋去
[03:41 -> 03:42][SPEAKER_00]: 對
[03:42 -> 03:45][SPEAKER_01]: 因為這樣子給去城市比較好的
[03:45 -> 03:46][SPEAKER_01]: 一個優惠的方式
[03:46 -> 03:48][SPEAKER_01]: 因為他們騎牆的部分
[03:48 -> 03:49][SPEAKER_00]: 對
[03:49 -> 03:50][SPEAKER_01]: 然後跟推廣
[03:50 -> 03:52][SPEAKER_01]: 所以第二年之後就開始有到那個
[03:52 -> 03:53][SPEAKER_01]: Guardian
[03:53 -> 03:54][SPEAKER_01]: 還有莎莎
[03:54 -> 03:56][SPEAKER_01]: 其他的一些店
[03:56 -> 03:57][SPEAKER_01]: 那
[03:58 -> 04:00][SPEAKER_01]: 經過幾年之後
[04:00 -> 04:02][SPEAKER_01]: 因為這中間也是有其他的一些牌子
[04:02 -> 04:03][SPEAKER_01]: 珊珊草藥
[04:03 -> 04:04][SPEAKER_01]: 世富門
[04:04 -> 04:05][SPEAKER_01]: 十年藥專
[04:05 -> 04:07][SPEAKER_01]: 都是有合作的
[04:07 -> 04:08][SPEAKER_01]: 然後
[04:08 -> 04:11][SPEAKER_01]: 但是最主要那時候還是在做我的新題面
[04:11 -> 04:13][SPEAKER_01]: 以出口為導向
[04:13 -> 04:15][SPEAKER_01]: 最後就是他們牌子
[04:15 -> 04:17][SPEAKER_01]: 在海外牌子
[04:17 -> 04:19][SPEAKER_01]: 他們就是也是慢慢的收回來自己做的
[04:19 -> 04:20][SPEAKER_01]: 對
[04:20 -> 04:22][SPEAKER_01]: 那後續就自己
[04:22 -> 04:24][SPEAKER_01]: 我有創立了
[04:24 -> 04:27][SPEAKER_01]: 之後就沒有再做出口導向了
[04:27 -> 04:29][SPEAKER_01]: 我就創立了一個
[04:29 -> 04:30][SPEAKER_01]: 寵物的研發部
[04:30 -> 04:31][SPEAKER_01]: 因為那個時候想說
[04:31 -> 04:32][SPEAKER_01]: 欸
[04:32 -> 04:33][SPEAKER_01]: 寵物是下一個市場
[04:33 -> 04:36][SPEAKER_01]: 大概是在2016年的時候
[04:36 -> 04:37][SPEAKER_01]: 對
[04:37 -> 04:38][SPEAKER_00]: 那個剛起來的時候
[04:38 -> 04:39][SPEAKER_01]: 對
[04:39 -> 04:40][SPEAKER_01]: 那個時候其實
[04:40 -> 04:41][SPEAKER_01]: 其實玩了兩年
[04:41 -> 04:42][SPEAKER_01]: 我覺得
[04:42 -> 04:44][SPEAKER_01]: 因為那時候
[04:44 -> 04:45][SPEAKER_01]: 如果更早兩年的話
[04:45 -> 04:46][SPEAKER_01]: 或是一年
[04:46 -> 04:48][SPEAKER_01]: 其實情況會不一樣
[04:48 -> 04:50][SPEAKER_01]: 但是那時候還算早
[04:50 -> 04:51][SPEAKER_01]: 我那時候
[04:51 -> 04:53][SPEAKER_01]: 創了一個洗劑的牌子
[04:53 -> 04:55][SPEAKER_01]: 叫維吉納
[04:55 -> 04:56][SPEAKER_01]: 然後有
[04:56 -> 04:58][SPEAKER_01]: 一系列七個品項
[04:58 -> 04:59][SPEAKER_01]: 從保濕
[04:59 -> 05:01][SPEAKER_01]: 論物法
[05:01 -> 05:02][SPEAKER_01]: 就是針對性
[05:02 -> 05:06][SPEAKER_01]: 可能是不同的寵物的症狀
[05:06 -> 05:08][SPEAKER_01]: 像說你是貴賓狗的
[05:08 -> 05:12][SPEAKER_01]: 然後你是人權類的
[05:12 -> 05:13][SPEAKER_00]: 做美容這一塊的
[05:13 -> 05:14][SPEAKER_00]: 對
[05:14 -> 05:16][SPEAKER_01]: 全部都是
[05:16 -> 05:18][SPEAKER_01]: 那時候全台灣
[05:18 -> 05:19][SPEAKER_01]: 很多連鎖店
[05:19 -> 05:21][SPEAKER_01]: 我都有去上街
[05:21 -> 05:22][SPEAKER_01]: 因為要去提保
[05:22 -> 05:25][SPEAKER_01]: 可以過就可以進去
[05:25 -> 05:26][SPEAKER_01]: 上街
[05:26 -> 05:28][SPEAKER_01]: 然後再來就是
[05:28 -> 05:29][SPEAKER_01]: 最主要的
[05:29 -> 05:31][SPEAKER_01]: 不是連鎖店的
[05:31 -> 05:32][SPEAKER_01]: 業績
[05:32 -> 05:33][SPEAKER_01]: 業績最主要是
[05:33 -> 05:35][SPEAKER_01]: 那些寵物美容師
[05:35 -> 05:36][SPEAKER_01]: 對
[05:36 -> 05:37][SPEAKER_01]: 因為他們
[05:37 -> 05:38][SPEAKER_01]: 我們有做那個一家伙
[05:38 -> 05:39][SPEAKER_01]: 直接就是給他們做
[05:39 -> 05:40][SPEAKER_01]: 形成的
[05:40 -> 05:42][SPEAKER_01]: 那是2016年
[05:42 -> 05:45][SPEAKER_01]: 然後最後
[05:45 -> 05:47][SPEAKER_01]: 我把這個牌子
[05:47 -> 05:49][SPEAKER_01]: 給一個
[05:49 -> 05:52][SPEAKER_01]: 在矽子的新的公司
[05:52 -> 05:53][SPEAKER_01]: 他們第一次成立
[05:53 -> 05:54][SPEAKER_01]: 然後我就想說
[05:54 -> 05:56][SPEAKER_01]: 好沒關係
[05:56 -> 05:57][SPEAKER_01]: 就
[05:57 -> 05:58][SPEAKER_01]: 這個牌子
[05:58 -> 06:00][SPEAKER_01]: 就讓你去銷售
[06:00 -> 06:01][SPEAKER_01]: 因為他們那時候也是
[06:01 -> 06:02][SPEAKER_01]: 租大型商售
[06:02 -> 06:04][SPEAKER_01]: 寵物市場
[06:04 -> 06:05][SPEAKER_01]: 那就
[06:05 -> 06:06][SPEAKER_01]: 簽給他
[06:06 -> 06:07][SPEAKER_01]: 就加讓你去做
[06:07 -> 06:08][SPEAKER_01]: 然後他推廣什麼
[06:08 -> 06:09][SPEAKER_01]: 你去做
[06:09 -> 06:10][SPEAKER_01]: 我想做回
[06:10 -> 06:11][SPEAKER_01]: 我的保養品的
[06:11 -> 06:12][SPEAKER_01]: 那個產業
[06:12 -> 06:13][SPEAKER_01]: 對
[06:13 -> 06:14][SPEAKER_01]: 所以
[06:14 -> 06:16][SPEAKER_01]: 那時候就又恢復
[06:16 -> 06:17][SPEAKER_01]: 成做這個
[06:17 -> 06:18][SPEAKER_01]: 保養品的一個
[06:18 -> 06:19][SPEAKER_00]: 對
[06:19 -> 06:20][SPEAKER_00]: 現在這個品牌
[06:20 -> 06:21][SPEAKER_00]: 對
[06:21 -> 06:22][SPEAKER_00]: OK
[06:22 -> 06:23][SPEAKER_00]: 那你為什麼
[06:23 -> 06:24][SPEAKER_00]: 我想請教一下
[06:24 -> 06:25][SPEAKER_00]: 因為你
[06:25 -> 06:27][SPEAKER_00]: 算是做國際貿易起家的
[06:27 -> 06:28][SPEAKER_00]: 對
[06:28 -> 06:29][SPEAKER_00]: 那怎麼會想要轉到
[06:29 -> 06:30][SPEAKER_00]: 現在目前就是以
[06:30 -> 06:31][SPEAKER_00]: 內銷為主的
[06:31 -> 06:32][SPEAKER_00]: 國內台灣市場
[06:32 -> 06:33][SPEAKER_00]: 對
[06:33 -> 06:34][SPEAKER_00]: 現在內銷為主
[06:34 -> 06:35][SPEAKER_00]: 那為什麼會
[06:35 -> 06:36][SPEAKER_00]: 你是怎麼思考的
[06:36 -> 06:38][SPEAKER_01]: 我那個時候是
[06:38 -> 06:40][SPEAKER_01]: 國際貿易為主
[06:40 -> 06:41][SPEAKER_01]: 對
[06:41 -> 06:43][SPEAKER_01]: 那是有搶到時間點
[06:43 -> 06:45][SPEAKER_01]: 所以就
[06:45 -> 06:47][SPEAKER_00]: 有一些紅利這樣子
[06:47 -> 06:48][SPEAKER_00]: 對
[06:48 -> 06:49][SPEAKER_01]: 有切入點
[06:49 -> 06:50][SPEAKER_01]: 然後後面
[06:50 -> 06:52][SPEAKER_01]: 發現其實台灣
[06:54 -> 06:56][SPEAKER_01]: 有一個不合理的東西
[06:56 -> 06:58][SPEAKER_01]: 就是小商通
[06:58 -> 07:02][SPEAKER_01]: 其實小商通
[07:02 -> 07:06][SPEAKER_01]: 在我有做貿易的過程
[07:06 -> 07:08][SPEAKER_01]: 的經驗過後
[07:08 -> 07:10][SPEAKER_01]: 我看那個都是
[07:10 -> 07:12][SPEAKER_01]: 我覺得那個是比較
[07:12 -> 07:14][SPEAKER_01]: 偏向
[07:14 -> 07:16][SPEAKER_01]: 半違法
[07:16 -> 07:18][SPEAKER_01]: 因為
[07:18 -> 07:20][SPEAKER_01]: 那個都是成壤的業者
[07:20 -> 07:22][SPEAKER_01]: 就是反正
[07:22 -> 07:23][SPEAKER_01]: 我這一個貨櫃
[07:23 -> 07:24][SPEAKER_01]: 我承租給
[07:24 -> 07:25][SPEAKER_01]: 可能
[07:25 -> 07:27][SPEAKER_01]: 因為有些人
[07:27 -> 07:28][SPEAKER_01]: 量沒有那麼大
[07:28 -> 07:29][SPEAKER_01]: 所以我可能沒有辦法
[07:29 -> 07:30][SPEAKER_01]: 吃下一個貨櫃
[07:30 -> 07:31][SPEAKER_01]: 或是帳板
[07:31 -> 07:33][SPEAKER_01]: 或是散磚這樣子
[07:33 -> 07:34][SPEAKER_01]: 對
[07:34 -> 07:35][SPEAKER_01]: 那有可能他就用
[07:35 -> 07:36][SPEAKER_01]: 更小的單位
[07:36 -> 07:38][SPEAKER_01]: 他的計算就是以公斤去計算
[07:38 -> 07:40][SPEAKER_01]: 來去
[07:40 -> 07:41][SPEAKER_01]: 然後他又是用
[07:41 -> 07:43][SPEAKER_01]: 以產業來分
[07:43 -> 07:45][SPEAKER_01]: 你如果是美妝類
[07:45 -> 07:46][SPEAKER_01]: 給你收多少錢
[07:46 -> 07:48][SPEAKER_01]: 給你購入多少錢
[07:48 -> 07:50][SPEAKER_01]: 其實他們招攬的這一些
[07:50 -> 07:52][SPEAKER_01]: 我的認知是
[07:52 -> 07:53][SPEAKER_01]: 他們招攬
[07:53 -> 07:55][SPEAKER_01]: 他們用不同的名字
[07:55 -> 07:57][SPEAKER_01]: 進來
[07:57 -> 07:58][SPEAKER_01]: 當然他們那個可能是
[07:58 -> 08:00][SPEAKER_01]: 都有打好關係
[08:00 -> 08:01][SPEAKER_01]: 那
[08:01 -> 08:02][SPEAKER_01]: 原本這個東西進口
[08:02 -> 08:03][SPEAKER_01]: 可能要
[08:03 -> 08:05][SPEAKER_01]: 30% 50%的關稅
[08:05 -> 08:06][SPEAKER_01]: 或多少%的關稅
[08:06 -> 08:08][SPEAKER_01]: 那他以不同的名義
[08:08 -> 08:09][SPEAKER_01]: 報關進來
[08:09 -> 08:11][SPEAKER_01]: 可能就不用那麼高
[08:11 -> 08:12][SPEAKER_01]: 那他賺東西
[08:12 -> 08:13][SPEAKER_01]: 就是這個
[08:13 -> 08:14][SPEAKER_01]: 差價
[08:14 -> 08:15][SPEAKER_01]: 那以不同的名目
[08:15 -> 08:16][SPEAKER_01]: 進來之後
[08:16 -> 08:18][SPEAKER_01]: 所以那些走小商通的
[08:18 -> 08:19][SPEAKER_01]: 其實
[08:19 -> 08:21][SPEAKER_01]: 就
[08:21 -> 08:22][SPEAKER_01]: 業者
[08:22 -> 08:23][SPEAKER_01]: 當地的業者
[08:23 -> 08:24][SPEAKER_01]: 可能就是
[08:24 -> 08:25][SPEAKER_01]: 我可以
[08:25 -> 08:26][SPEAKER_01]: 進進來就好
[08:26 -> 08:27][SPEAKER_01]: 我可以進貨進來就好
[08:27 -> 08:29][SPEAKER_01]: 所以那時候想說
[08:29 -> 08:30][SPEAKER_01]: 有太多這個
[08:30 -> 08:32][SPEAKER_01]: 我們直接在做貿易的
[08:32 -> 08:33][SPEAKER_01]: 我資金又沒那麼多
[08:33 -> 08:35][SPEAKER_01]: 跟人家拼
[08:35 -> 08:38][SPEAKER_01]: 我會拼不過人家可能
[08:38 -> 08:40][SPEAKER_00]: 所以透過這個路徑
[08:40 -> 08:41][SPEAKER_00]: 進來的貨這樣子
[08:41 -> 08:42][SPEAKER_00]: 對
[08:42 -> 08:43][SPEAKER_01]: 因為那個太多了
[08:43 -> 08:44][SPEAKER_01]: 那
[08:44 -> 08:47][SPEAKER_01]: 我覺得去教育
[08:47 -> 08:48][SPEAKER_01]: 消費者或是什麼
[08:48 -> 08:50][SPEAKER_01]: 這不是
[08:50 -> 08:52][SPEAKER_01]: 一個人有辦法去對抗那麼多
[08:52 -> 08:53][SPEAKER_01]: 因為
[08:53 -> 08:55][SPEAKER_01]: 可能沒有實的
[08:55 -> 08:56][SPEAKER_01]: 不知道
[08:56 -> 08:59][SPEAKER_01]: 真正小商通他們的模式
[08:59 -> 09:00][SPEAKER_01]: 那
[09:00 -> 09:01][SPEAKER_01]: 他們
[09:01 -> 09:02][SPEAKER_01]: 就秉持著
[09:02 -> 09:03][SPEAKER_01]: 我就
[09:03 -> 09:04][SPEAKER_01]: 第一輛
[09:04 -> 09:05][SPEAKER_01]: 進進來就好了
[09:05 -> 09:06][SPEAKER_01]: 或是
[09:06 -> 09:07][SPEAKER_01]: 我價格低一點
[09:07 -> 09:09][SPEAKER_00]: 所以現在蝦皮很多都這種的
[09:09 -> 09:10][SPEAKER_00]: 路徑
[09:10 -> 09:11][SPEAKER_00]: 其實我
[09:11 -> 09:12][SPEAKER_01]: 也是走這一種
[09:12 -> 09:14][SPEAKER_01]: 類似的路徑
[09:14 -> 09:17][SPEAKER_01]: 但是我是有正常報關報稅的
[09:17 -> 09:18][SPEAKER_02]: 對
[09:18 -> 09:19][SPEAKER_01]: 就又不一樣
[09:19 -> 09:20][SPEAKER_01]: 我怎麼樣也是要報關進來
[09:20 -> 09:21][SPEAKER_01]: 就是
[09:21 -> 09:23][SPEAKER_01]: 都是用我的公司美進來
[09:23 -> 09:24][SPEAKER_00]: 是
[09:24 -> 09:26][SPEAKER_00]: 那我們做這個品牌
[09:26 -> 09:28][SPEAKER_00]: 是已經做了三年了
[09:28 -> 09:29][SPEAKER_00]: 還是做一年
[09:29 -> 09:30][SPEAKER_00]: 哪一個品牌
[09:30 -> 09:31][SPEAKER_00]: 我們現在這個
[09:31 -> 09:32][SPEAKER_00]: 公司
[09:32 -> 09:33][SPEAKER_00]: 對對對
[09:33 -> 09:34][SPEAKER_01]: 這個就從
[09:34 -> 09:35][SPEAKER_01]: 成立到現在
[09:35 -> 09:36][SPEAKER_01]: 就成立到現在
[09:36 -> 09:37][SPEAKER_00]: 對
[09:37 -> 09:38][SPEAKER_01]: 我還有去註冊商標
[09:38 -> 09:39][SPEAKER_00]: OK
[09:39 -> 09:41][SPEAKER_01]: 然後
[09:41 -> 09:43][SPEAKER_01]: 我還有去註冊BSM
[09:43 -> 09:44][SPEAKER_01]: OK
[09:44 -> 09:45][SPEAKER_01]: 商檢我也有
[09:45 -> 09:48][SPEAKER_01]: 但是我商檢是給我電子商品
[09:48 -> 09:49][SPEAKER_00]: 對對對
[09:49 -> 09:50][SPEAKER_00]: 兩個不太一樣
[09:50 -> 09:51][SPEAKER_00]: 兩個不一樣
[09:51 -> 09:52][SPEAKER_00]: 就是因為兩個不一樣
[09:52 -> 09:53][SPEAKER_00]: 我蠻好奇
[09:53 -> 09:54][SPEAKER_00]: 為什麼
[09:54 -> 09:55][SPEAKER_00]: 為什麼會想要把一個品牌
[09:55 -> 09:58][SPEAKER_00]: 因為畢竟兩個族群客群定位都不一樣
[09:58 -> 09:59][SPEAKER_00]: 那怎麼會想要
[09:59 -> 10:00][SPEAKER_01]: 我當初是
[10:00 -> 10:02][SPEAKER_01]: 一樣就是走
[10:02 -> 10:03][SPEAKER_01]: 保養品啊
[10:03 -> 10:04][SPEAKER_01]: 對啊
[10:04 -> 10:06][SPEAKER_01]: 那因為賣的還OK
[10:06 -> 10:07][SPEAKER_01]: 那
[10:07 -> 10:09][SPEAKER_01]: 在外面有一些朋友
[10:09 -> 10:10][SPEAKER_01]: 就會聊
[10:10 -> 10:12][SPEAKER_01]: 然後聊了之後人家就會說
[10:12 -> 10:13][SPEAKER_01]: 我這個東西
[10:13 -> 10:15][SPEAKER_01]: 能不能幫我賣一下
[10:15 -> 10:17][SPEAKER_01]: 因為我就想說藉由
[10:17 -> 10:18][SPEAKER_01]: 我現有的平台
[10:18 -> 10:19][SPEAKER_01]: 對
[10:19 -> 10:20][SPEAKER_01]: 我也撲出去
[10:20 -> 10:21][SPEAKER_01]: 對
[10:21 -> 10:23][SPEAKER_01]: 一個不小心就賣了一個
[10:23 -> 10:24][SPEAKER_01]: 我的保養品還好
[10:24 -> 10:25][SPEAKER_01]: 是
[10:25 -> 10:26][SPEAKER_01]: 懂
[10:26 -> 10:29][SPEAKER_01]: 所以那個時候我就做了決定就是
[10:29 -> 10:30][SPEAKER_01]: 好
[10:30 -> 10:35][SPEAKER_01]: 那與其把很多東西拉到自己的現在的賣場
[10:35 -> 10:37][SPEAKER_01]: 這樣太亂
[10:37 -> 10:39][SPEAKER_01]: 對消費者來講會有點
[10:39 -> 10:41][SPEAKER_01]: 而且我們又不是那種日用品
[10:41 -> 10:42][SPEAKER_02]: 對
[10:42 -> 10:43][SPEAKER_01]: 什麼都進來
[10:43 -> 10:44][SPEAKER_01]: 哪一種就可能可以
[10:44 -> 10:45][SPEAKER_01]: 對
[10:45 -> 10:47][SPEAKER_01]: 那就決定好
[10:47 -> 10:50][SPEAKER_01]: 我們做成是垂直的賣場
[10:50 -> 10:52][SPEAKER_01]: 就是我這一個賣場
[10:52 -> 10:55][SPEAKER_01]: 就今年可能全部保養品相關的
[10:55 -> 10:56][SPEAKER_01]: 是
[10:56 -> 10:57][SPEAKER_01]: 對
[10:57 -> 10:58][SPEAKER_01]: 然後另外一個賣場
[10:58 -> 10:59][SPEAKER_01]: 31
[10:59 -> 11:00][SPEAKER_01]: 就開始切分開來
[11:00 -> 11:01][SPEAKER_01]: 嗯
[11:01 -> 11:02][SPEAKER_00]: 對
[11:02 -> 11:03][SPEAKER_00]: OK
[11:03 -> 11:06][SPEAKER_00]: 所以現在目前的主要通路是
[11:06 -> 11:08][SPEAKER_00]: 我現在看有一個網站嘛
[11:08 -> 11:09][SPEAKER_00]: 對
[11:09 -> 11:11][SPEAKER_00]: 那另外一部分是在蝦皮
[11:11 -> 11:13][SPEAKER_01]: 有網站有蝦皮
[11:13 -> 11:14][SPEAKER_01]: 對
[11:14 -> 11:15][SPEAKER_01]: 呃
[11:15 -> 11:16][SPEAKER_01]: 現在平台有蝦皮
[11:16 -> 11:17][SPEAKER_01]: 對
[11:17 -> 11:18][SPEAKER_01]: 然後怒天
[11:18 -> 11:19][SPEAKER_01]: 對
[11:19 -> 11:20][SPEAKER_01]: 對
[11:20 -> 11:21][SPEAKER_01]: 然後酷紅
[11:21 -> 11:22][SPEAKER_01]: 對
[11:22 -> 11:23][SPEAKER_01]: 然後還有Friday
[11:23 -> 11:24][SPEAKER_01]: 對
[11:24 -> 11:25][SPEAKER_01]: 那個原始購物的
[11:25 -> 11:26][SPEAKER_00]: 是
[11:26 -> 11:28][SPEAKER_01]: 然後那個電腦也還OK
[11:28 -> 11:29][SPEAKER_00]: OK
[11:29 -> 11:31][SPEAKER_00]: 所以我們現在我們主要通路就是這些嘛
[11:31 -> 11:32][SPEAKER_00]: 對
[11:32 -> 11:33][SPEAKER_00]: 就網路這一堆
[11:33 -> 11:34][SPEAKER_00]: 多種線上的線上
[11:34 -> 11:35][SPEAKER_01]: 多種線上的
[11:35 -> 11:36][SPEAKER_01]: 因為其實那時候我做寵物洗劑的時候
[11:36 -> 11:37][SPEAKER_00]: 嗯
[11:37 -> 11:40][SPEAKER_01]: 歐斯底通路比較累
[11:40 -> 11:41][SPEAKER_01]: 嗯
[11:41 -> 11:44][SPEAKER_01]: 從其實從屈臣氏那時候到
[11:44 -> 11:45][SPEAKER_01]: 呃
[11:45 -> 11:46][SPEAKER_01]: 新加坡的屈臣氏
[11:46 -> 11:47][SPEAKER_01]: 嗯
[11:47 -> 11:49][SPEAKER_01]: 到回到台灣做呃
[11:49 -> 11:50][SPEAKER_01]: 寵物洗劑的保養
[11:50 -> 11:51][SPEAKER_01]: 對
[11:51 -> 11:53][SPEAKER_01]: 然後我自己的洗劑
[11:53 -> 11:54][SPEAKER_01]: 也感覺
[11:54 -> 11:55][SPEAKER_01]: 欸
[11:55 -> 11:56][SPEAKER_01]: 成本開銷其實很多
[11:56 -> 11:57][SPEAKER_01]: 因為
[11:57 -> 11:59][SPEAKER_01]: 我要一個辦公室
[11:59 -> 12:01][SPEAKER_01]: 然後讓我的業務啊
[12:01 -> 12:02][SPEAKER_01]: 嗯
[12:02 -> 12:03][SPEAKER_01]: 或是讓我的人員每天跟我們討論
[12:03 -> 12:05][SPEAKER_01]: 然後他們的任務就是
[12:05 -> 12:08][SPEAKER_01]: 每天要去各點
[12:08 -> 12:09][SPEAKER_01]: 嗯
[12:09 -> 12:10][SPEAKER_01]: 去估貨
[12:10 -> 12:11][SPEAKER_01]: 嗯
[12:11 -> 12:12][SPEAKER_01]: 去談
[12:12 -> 12:13][SPEAKER_01]: 是
[12:13 -> 12:14][SPEAKER_01]: 那北東南
[12:14 -> 12:15][SPEAKER_01]: 他們連屬都有
[12:15 -> 12:16][SPEAKER_01]: 那你如果跟著五六間
[12:16 -> 12:17][SPEAKER_01]: 對
[12:17 -> 12:18][SPEAKER_01]: 呃有合作的話
